common_name,scientific_name,variety_name,days_to_germination_min,days_to_germination_max,days_to_harvest,spacing_inches,row_spacing_inches,sun_requirement,water_requirement,description,growing_notes,photo_url,tags
Basil - Sweet,Ocimum basilicum,Genovese,5,10,60,10,12,full_sun,medium,Classic Italian basil,Pinch flowers to promote leaf growth. Frost sensitive.,,"herb,annual,culinary,warm_season"
Basil - Thai,Ocimum basilicum,Siam Queen,5,10,60,10,12,full_sun,medium,Licorice-flavored basil,Purple stems. Essential for Thai cuisine.,,"herb,annual,culinary,warm_season"
Parsley - Curly,Petroselinum crispum,Moss Curled,14,28,70,6,12,partial_sun,medium,Decorative curly parsley,Slow to germinate. Soak seeds. Biennial.,,"herb,biennial,culinary,cool_season"
Parsley - Italian,Petroselinum crispum,Italian Giant,14,28,70,6,12,partial_sun,medium,Flat-leaf parsley with strong flavor,More flavorful than curly. Cut-and-come-again.,,"herb,biennial,culinary,cool_season"
Cilantro,Coriandrum sativum,Santo,7,14,50,6,12,partial_sun,medium,Fresh herb for salsa and curries,Bolts quickly in heat. Succession plant. Seeds are coriander.,,"herb,annual,culinary,cool_season"
Dill,Anethum graveolens,Bouquet,7,14,40,12,18,full_sun,medium,Feathery herb for pickling,Direct sow. Self-sows readily.,,"herb,annual,culinary,cool_season"
Chives,Allium schoenoprasum,Common,14,21,60,6,12,full_sun,medium,Mild onion-flavored herb,Perennial. Edible flowers. Very cold hardy.,,"herb,perennial,culinary,cold_hardy"
Oregano,Origanum vulgare,Greek,7,14,90,12,18,full_sun,low,Mediterranean herb,Perennial. Drought tolerant. Flavor intensifies when dried.,,"herb,perennial,culinary,drought_tolerant"
Thyme - Common,Thymus vulgaris,English,14,28,85,12,18,full_sun,low,Classic cooking thyme,Perennial. Evergreen in mild climates. Drought tolerant.,,"herb,perennial,culinary,drought_tolerant,cold_hardy"
Rosemary,Rosmarinus officinalis,Tuscan Blue,21,35,180,24,36,full_sun,low,Woody Mediterranean herb,Perennial shrub. Hardy to zone 7. Slow from seed.,,"herb,perennial,culinary,drought_tolerant,bush"
Sage - Common,Salvia officinalis,Broadleaf,14,21,75,18,24,full_sun,low,Savory herb for poultry,Perennial. Semi-evergreen. Drought tolerant.,,"herb,perennial,culinary,drought_tolerant,cold_hardy"
Mint - Spearmint,Mentha spicata,Kentucky Colonel,14,21,90,18,24,partial_sun,high,Classic mint for tea and mojitos,Perennial. Very invasive. Grow in containers.,,"herb,perennial,culinary,cold_hardy,invasive"
Mint - Peppermint,Mentha × piperita,Black Mitcham,14,21,90,18,24,partial_sun,high,Menthol-flavored mint,Perennial. Spreads aggressively. Container recommended.,,"herb,perennial,culinary,cold_hardy,invasive"
Tarragon - French,Artemisia dracunculus,French,0,0,180,18,24,full_sun,low,Anise-flavored herb,"Perennial. Propagate by division, not seed.",,"herb,perennial,culinary,cold_hardy"
Marjoram - Sweet,Origanum majorana,Sweet,7,14,70,8,12,full_sun,low,Mild oregano-like herb,Annual in cold climates. Perennial in warm zones.,,"herb,annual,culinary,drought_tolerant"
Chamomile - German,Matricaria chamomilla,Bodegold,7,14,60,6,12,full_sun,medium,Daisy-like flowers for calming tea,Annual. Self-sows. Harvest flowers when fully open.,,"herb,annual,medicinal,tea"
Chamomile - Roman,Chamaemelum nobile,Treneague,14,21,120,12,18,full_sun,medium,Perennial ground cover chamomile,Perennial. Makes aromatic lawn. Cold hardy.,,"herb,perennial,medicinal,tea,cold_hardy,ground_cover"
Lavender - English,Lavandula angustifolia,Munstead,21,35,180,18,24,full_sun,low,Fragrant purple flowers,"Perennial. Drought tolerant. Good drainage essential. Mature size: 18-24"" tall.",,"herb,perennial,medicinal,tea,drought_tolerant,cold_hardy,bush"
Lemon Balm,Melissa officinalis,Quedlinburger,14,21,70,18,24,partial_sun,medium,Lemon-scented herb for tea,Perennial. Self-sows readily. Can be invasive.,,"herb,perennial,medicinal,tea,cold_hardy"
Echinacea - Purple Coneflower,Echinacea purpurea,Magnus,14,28,365,18,24,full_sun,low,"Medicinal flower, immune support",Perennial. Blooms second year. Drought tolerant. Mature size: 2-3' tall.,,"herb,perennial,medicinal,drought_tolerant,cold_hardy"
Calendula,Calendula officinalis,Resina,7,14,55,12,18,full_sun,medium,"Medicinal marigold, skin care",Annual. Edible flowers. Self-sows.,,"herb,annual,medicinal,edible_flower"
Feverfew,Tanacetum parthenium,Aureum,14,21,90,12,18,full_sun,low,Medicinal herb for headaches,Perennial. Self-sows readily. Daisy-like flowers.,,"herb,perennial,medicinal,cold_hardy"
St. John's Wort,Hypericum perforatum,Common,21,35,730,18,24,full_sun,low,Medicinal herb with yellow flowers,Perennial. Considered invasive in some areas.,,"herb,perennial,medicinal,drought_tolerant,invasive"
Catnip,Nepeta cataria,Common,7,14,85,18,24,full_sun,medium,"Herb beloved by cats, calming tea",Perennial. Self-sows. Deer resistant.,,"herb,perennial,medicinal,tea,cold_hardy"
Yarrow,Achillea millefolium,White,14,28,120,12,18,full_sun,low,"Medicinal herb, wound healing",Perennial. Very drought tolerant. Attracts beneficials.,,"herb,perennial,medicinal,drought_tolerant,cold_hardy"
Stevia,Stevia rebaudiana,Sweet Leaf,14,21,90,12,18,full_sun,medium,Natural zero-calorie sweetener,Tender perennial. Frost sensitive. Dry leaves for sweetener.,,"herb,perennial,culinary,warm_season"
Lemongrass,Cymbopogon citratus,East Indian,14,28,90,24,36,full_sun,medium,"Grass with lemon flavor, Asian cuisine",Tender perennial. Frost sensitive. Mature size: 3-4' tall.,,"herb,perennial,culinary,medicinal,warm_season"
Borage,Borago officinalis,Common,7,14,55,12,18,full_sun,medium,"Blue star flowers, cucumber flavor",Annual. Self-sows. Edible flowers. Bee magnet.,,"herb,annual,culinary,medicinal,edible_flower"
Anise Hyssop,Agastache foeniculum,Blue Fortune,14,21,120,12,18,full_sun,medium,Licorice-scented flowers for tea,Perennial. Attracts pollinators. Deer resistant.,,"herb,perennial,tea,medicinal,cold_hardy"
Fennel - Bronze,Foeniculum vulgare,Purpureum,7,14,90,12,18,full_sun,medium,Ornamental fennel with bronze foliage,Perennial. All parts edible. Attracts swallowtails.,,"herb,perennial,culinary,medicinal,ornamental"
